"","parl_id","syls","parly","gender","name","wikidataid","constituency","region","msp_type","office_held"
"742",1769,168253,"5th","F","Elaine Smith","Q305347",NA,"Central Scotland","Region","The Deputy Presiding Officer"
"743",1769,168253,"5th","F","Elaine Smith","Q305347",NA,"Central Scotland","Region",NA
"744",1773,356860,"5th","F","Fiona Hyslop","Q1418512","Linlithgow","Lothian","Constituency","The Cabinet Secretary for Culture, Europe and External Affairs"
"745",1773,356860,"5th","F","Fiona Hyslop","Q1418512","Linlithgow","Lothian","Constituency","The Cabinet Secretary for Culture, Tourism and External Affairs"
"746",1773,356860,"5th","F","Fiona Hyslop","Q1418512","Linlithgow","Lothian","Constituency","The Cabinet Secretary for Economy, Fair Work and Culture"
"747",1783,271497,"5th","F","Jackie Baillie","Q544729","Dumbarton","West Scotland","Constituency",NA
"748",1814,26756,"5th","F","Linda Fabiani","Q467097","East Kilbride","Central Scotland","Constituency",NA
"749",1814,26756,"5th","F","Linda Fabiani","Q467097","East Kilbride","Central Scotland","Constituency","The Deputy Presiding Officer"
"750",1841,124291,"5th","F","Maureen Watt","Q540381","Aberdeen South and North Kincardine","North East Scotland","Constituency","The Minister for Public Health"
"751",1841,124291,"5th","F","Maureen Watt","Q540381","Aberdeen South and North Kincardine","North East Scotland","Constituency","The Minister for Mental Health"
"752",1841,124291,"5th","F","Maureen Watt","Q540381","Aberdeen South and North Kincardine","North East Scotland","Constituency",NA
"753",1848,1751661,"5th","F","Nicola Sturgeon","Q467112","Glasgow Southside","Glasgow","Constituency","The First Minister"
"754",1857,243880,"5th","F","Pauline McNeill","Q2063795",NA,"Glasgow","Region",NA
"755",1860,235684,"5th","F","Rhoda Grant","Q769138",NA,"Highlands and Islands","Region",NA
"756",1863,320237,"5th","F","Roseanna Cunningham","Q333953","Perthshire South and Kinross-shire","Mid Scotland and Fife","Constituency","The Cabinet Secretary for Fair Work, Skills and Training"
"757",1863,320237,"5th","F","Roseanna Cunningham","Q333953","Perthshire South and Kinross-shire","Mid Scotland and Fife","Constituency","The Cabinet Secretary for the Environment, Climate Change and Land Reform"
"758",1863,320237,"5th","F","Roseanna Cunningham","Q333953","Perthshire South and Kinross-shire","Mid Scotland and Fife","Constituency","The Cabinet Secretary for Environment, Climate Change and Land Reform"
"759",1865,145816,"5th","F","Sandra White","Q466861","Glasgow Kelvin","Glasgow","Constituency",NA
"760",1866,72135,"5th","F","Sarah Boyack","Q544089",NA,"Lothian","Region",NA
"761",1870,297129,"5th","F","Shona Robison","Q444675","Dundee City East","North East Scotland","Constituency","The Cabinet Secretary for Health, Wellbeing and Sport"
"762",1870,297129,"5th","F","Shona Robison","Q444675","Dundee City East","North East Scotland","Constituency","The Cabinet Secretary for Health and Sport"
"763",1870,297129,"5th","F","Shona Robison","Q444675","Dundee City East","North East Scotland","Constituency",NA
"764",1893,8571,"5th","M","Alex Johnstone","Q2641395",NA,"North East Scotland","Region",NA
"765",1894,57888,"5th","M","Alex Neil","Q1515752","Airdrie and Shotts","Central Scotland","Constituency","The Cabinet Secretary for Social Justice, Communities and Pensioners’ Rights"
"766",1894,57888,"5th","M","Alex Neil","Q1515752","Airdrie and Shotts","Central Scotland","Constituency",NA
"767",1932,138405,"5th","M","Bruce Crawford","Q559391","Stirling","Mid Scotland and Fife","Constituency",NA
"768",1994,412951,"5th","M","Fergus Ewing","Q559022","Inverness and Nairn","Highlands and Islands","Constituency","The Minister for Business, Energy and Tourism"
"769",1994,412951,"5th","M","Fergus Ewing","Q559022","Inverness and Nairn","Highlands and Islands","Constituency","The Cabinet Secretary for Rural Economy and Connectivity"
"770",1994,412951,"5th","M","Fergus Ewing","Q559022","Inverness and Nairn","Highlands and Islands","Constituency","The Cabinet Secretary for the Rural Economy"
"771",1994,412951,"5th","M","Fergus Ewing","Q559022","Inverness and Nairn","Highlands and Islands","Constituency","The Cabinet Secretary for Rural Economy and Tourism"
"772",2010,35886,"5th","M","Gil Paterson","Q200615","Clydebank and Milngavie","West Scotland","Constituency",NA
"773",2015,165249,"5th","M","Gordon Lindhurst","Q24034371",NA,"Lothian","Region",NA
"774",2033,186916,"5th","M","Iain Gray","Q1421398","East Lothian","South Scotland","Constituency",NA
"775",2059,176958,"5th","M","James Kelly","Q1519985",NA,"Glasgow","Region",NA
"776",2080,147096,"5th","F","Johann Lamont","Q544698",NA,"Glasgow","Region",NA
"777",2098,635426,"5th","M","John Swinney","Q333811","Perthshire North","Mid Scotland and Fife","Constituency","The Deputy First Minister"
"778",2098,635426,"5th","M","John Swinney","Q333811","Perthshire North","Mid Scotland and Fife","Constituency","The Deputy First Minister and Cabinet Secretary for Education and Skills"
"779",2103,288754,"5th","M","Keith Brown","Q1738042","Clackmannanshire and Dunblane","Mid Scotland and Fife","Constituency","The Cabinet Secretary for Infrastructure, Investment and Cities"
"780",2103,288754,"5th","M","Keith Brown","Q1738042","Clackmannanshire and Dunblane","Mid Scotland and Fife","Constituency","The Cabinet Secretary for Economy, Jobs and Fair Work"
"781",2103,288754,"5th","M","Keith Brown","Q1738042","Clackmannanshire and Dunblane","Mid Scotland and Fife","Constituency",NA
"782",2108,2044957,"5th","M","Ken Macintosh","Q1738887",NA,"West Scotland","Region",NA
